ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcription,AlternativeValue,AlternativeTranscription
voro1241-11-610-4,,voro1241,11-610,lainama;võlgo andma;lainu andma;lainus andma,lainus andma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-620-1,,voro1241,11-620,lainus võtma;võlgo võtma;lainu pääle võtma,lainus võtma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-620-2,,voro1241,11-620,lainus võtma;võlgo võtma;lainu pääle võtma,võlgo võtma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-620-3,,voro1241,11-620,lainus võtma;võlgo võtma;lainu pääle võtma,lainu pääle võtma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-630-1,,voro1241,11-630,võlgo olõma,võlgo olõma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-640-1,,voro1241,11-640,võlg,võlg,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-650-1,,voro1241,11-650,masma;tasoma,masma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-650-2,,voro1241,11-650,masma;tasoma,tasoma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-660-1,,voro1241,11-660,arvõq;rehnut́;masmisõpapõŕ;rehnudipapõŕ,arvõq,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-660-2,,voro1241,11-660,arvõq;rehnut́;masmisõpapõŕ;rehnudipapõŕ,rehnut́,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-660-3,,voro1241,11-660,arvõq;rehnut́;masmisõpapõŕ;rehnudipapõŕ,masmisõpapõŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-660-4,,voro1241,11-660,arvõq;rehnut́;masmisõpapõŕ;rehnudipapõŕ,rehnudipapõŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-690-1,,voro1241,11-690,mass,mass,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-770-1,,voro1241,11-770,tüüle võtma;palkama,tüüle võtma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-770-2,,voro1241,11-770,tüüle võtma;palkama,palkama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-780-1,,voro1241,11-780,palk;teenüḱ;teenüsḱ;tüütaso,palk,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-780-2,,voro1241,11-780,palk;teenüḱ;teenüsḱ;tüütaso,teenüḱ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-780-3,,voro1241,11-780,palk;teenüḱ;teenüsḱ;tüütaso,teenüsḱ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-780-4,,voro1241,11-780,palk;teenüḱ;teenüsḱ;tüütaso,tüütaso,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-790-1,,voro1241,11-790,tiińmä;päĺmä;kullõma,tiińmä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-11-790-2,,voro1241,11-790,tiińmä;päĺmä;kullõma,päĺmä,,,cosgrove2020,,,,,StandardOrth,,
